         12681992 function calls (12672568 primitive calls) in 6.645 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 function_base.py:818(<listcomp>)
       35    0.000    0.000    0.000    0.000 getlimits.py:692(max)
       37    0.000    0.000    0.000    0.000 base.py:2381(is_unique)
       86    0.000    0.000    0.000    0.000 common.py:146(classes)
       64    0.000    0.000    0.000    0.000 managers.py:2237(_grouping_func)
       72    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_platform_int}
       38    0.000    0.000    0.000    0.000 fromnumeric.py:436(repeat)
       86    0.000    0.000    0.000    0.000 common.py:148(<lambda>)
        1    0.000    0.000    0.001    0.001 construction.py:423(dict_to_mgr)
       46    0.000    0.000    0.000    0.000 base.py:7277(ensure_index)
       37    0.000    0.000    0.000    0.000 indexing.py:2574(convert_missing_indexer)
        1    0.000    0.000    0.000    0.000 managers.py:2253(_form_blocks)
      144    0.000    0.000    0.000    0.000 fromnumeric.py:2950(_prod_dispatcher)
       42    0.000    0.000    0.000    0.000 common.py:1154(needs_i8_conversion)
        7    0.000    0.000    0.000    0.000 common.py:235(asarray_tuplesafe)
      144    0.000    0.000    0.000    0.000 fromnumeric.py:3241(_around_dispatcher)
       78    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 managers.py:2305(_stack_arrays)
       72    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
       36    0.000    0.000    0.000    0.000 {method 'item' of 'numpy.ndarray' objects}
      144    0.000    0.000    0.000    0.000 numeric.py:428(_count_nonzero_dispatcher)
        1    0.000    0.000    0.000    0.000 _exceptions.py:30(find_stack_level)
       36    0.000    0.000    0.000    0.000 frame.py:600(_constructor)
       65    0.000    0.000    0.000    0.000 common.py:566(require_length_match)
       40    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1026fd5f0}
       38    0.000    0.000    0.000    0.000 enum.py:1243(value)
        8    0.000    0.000    0.000    0.000 inspect.py:896(getfile)
       36    0.000    0.000    0.000    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
       36    0.000    0.000    0.000    0.000 numeric.py:1473(<listcomp>)
       68    0.000    0.000    0.000    0.000 construction.py:713(_sanitize_str_dtypes)
        4    0.000    0.000    0.000    0.000 base.py:7396(_maybe_cast_data_without_dtype)
      126    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
       68    0.000    0.000    0.000    0.000 construction.py:733(_maybe_repeat)
       40    0.000    0.000    0.000    0.000 base.py:870(_reset_identity)
        1    0.000    0.000    0.000    0.000 parameters.py:278(reset_inputs)
